host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-02-13T01:44:01.489133,180.271,425.00,-0.3641,-0.0768,-0.9066,2.1362,-5.3101,-0.9155
2026-02-13T01:44:01.595994,180.420,428.00,-0.3407,-0.0895,-0.8999,4.8828,-2.6245,-1.8311
2026-02-13T01:44:01.745962,180.570,427.00,-0.3757,-0.0619,-0.9569,6.6528,-4.5166,-1.0376
2026-02-13T01:44:01.895943,180.720,433.00,-0.3304,-0.0358,-0.9032,6.7139,0.9766,-1.8311
2026-02-13T01:44:02.046419,180.870,435.00,-0.2493,-0.0149,-0.9457,8.9111,19.7144,-3.5400
2026-02-13T01:44:02.196418,181.020,444.00,-0.2911,-0.0300,-0.8258,2.5635,7.6294,-9.7046
2026-02-13T01:44:02.346568,181.170,441.00,-0.3816,-0.0068,-0.8870,13.1836,7.6904,-1.4038
2026-02-13T01:44:02.496117,181.320,443.00,-0.3711,0.0923,-0.9102,3.9062,-12.1460,-2.5024
2026-02-13T01:44:02.646386,181.470,440.00,-0.3783,0.1106,-0.9073,6.2256,-26.9775,-14.8315
2026-02-13T01:44:02.797100,181.620,439.00,-0.3677,0.0797,-0.9520,15.1367,-20.3857,-11.8408
2026-02-13T01:44:02.946697,181.770,450.00,-0.3042,-0.0284,-0.9873,-8.6060,0.5493,-9.5215
2026-02-13T01:44:03.096652,181.920,443.00,-0.2479,0.0963,-0.9324,-5.9204,22.7661,5.2490
2026-02-13T01:44:03.246744,182.070,456.00,-0.3188,0.1472,-0.8652,-1.0376,17.8833,5.8594
2026-02-13T01:44:03.396374,182.220,461.00,-0.3989,0.0511,-0.9012,6.6528,3.2959,-0.3662
2026-02-13T01:44:03.546354,182.370,464.00,-0.3997,0.0334,-0.8134,-17.2729,5.4932,9.0332
2026-02-13T01:44:03.696613,182.520,470.00,-0.3217,0.0073,-0.8737,7.5684,-13.1836,-1.0986
2026-02-13T01:44:03.846880,182.670,460.00,-0.3247,-0.0450,-0.8909,-0.0610,-17.8223,-0.3052
2026-02-13T01:44:03.996402,182.820,457.00,-0.2684,0.0568,-0.9382,-2.3193,-6.8970,-1.8921
